Genes	dNdS
Solyc02g082400	0.18158
Solyc02g082410	0.09608
Solyc02g082420	0.06467
Solyc02g082430	0.17606
Solyc02g082450	0.11190
Solyc02g082460	0.14691
Solyc02g082470	0.29006
Solyc02g082480	0.33076
Solyc02g082490	0.00010
Solyc02g082500	0.00010
Solyc02g082510	0.11556
Solyc02g082550	0.09606
Solyc02g082570	0.21462
Solyc02g082590	1.09149
Solyc02g082600	0.89078
Solyc02g082660	0.70524
Solyc02g082670	0.00010
Solyc02g082680	0.15024
Solyc02g082690	0.30324
Solyc02g082700	0.00010
Solyc02g082710	0.81881
Solyc02g082720	0.88982
Solyc02g082730	0.47018
Solyc02g082740	1.01431
Solyc02g082750	0.49629
Solyc02g082760	0.00010
Solyc02g082770	0.54388
Solyc02g082800	0.16775
Solyc02g082810	0.53957
Solyc02g082820	0.28811
Solyc02g082830	0.04988
Solyc02g082840	0.46919
Solyc02g082850	0.05793
Solyc02g082860	0.09092
Solyc02g082870	0.27412
Solyc02g082880	0.20540
Solyc02g082900	0.13203
Solyc02g082910	0.26390
Solyc02g082920	0.42705
Solyc02g082930	0.12243
Solyc02g082940	0.11095
Solyc02g082950	0.34323
Solyc02g082960	0.76538
Solyc02g082970	0.38438
Solyc02g082980	1.65434
Solyc02g083000	0.00010
Solyc02g083030	999.00000
Solyc02g083040	0.27810
Solyc02g083050	0.37236
Solyc02g083070	0.04539
Solyc02g083090	0.25682
Solyc02g083100	0.09802
Solyc02g083110	0.13711
Solyc02g083120	0.14217
Solyc02g083130	0.25816
Solyc02g083140	0.53342
Solyc02g083150	0.47105
Solyc02g083170	0.30811
Solyc02g083180	0.00010
Solyc02g083190	0.39593
Solyc02g083220	999.00000
Solyc02g083240	0.00010
Solyc02g083250	0.30527
Solyc02g083260	0.10978
Solyc02g083270	0.26543
Solyc02g083280	0.48323
Solyc02g083290	0.03947
Solyc02g083310	0.20691
Solyc02g083320	0.00010
Solyc02g083340	0.10738
Solyc02g083350	0.00010
Solyc02g083360	0.21246
Solyc02g083370	129.04908
Solyc02g083380	999.00000
Solyc02g083390	0.04835
Solyc02g083400	0.05199
Solyc02g083410	0.12767
Solyc02g083420	0.15280
Solyc02g083430	0.24416
Solyc02g083440	0.41223
Solyc02g083450	0.14900
Solyc02g083460	0.25235
Solyc02g083470	0.24463
Solyc02g083480	0.00010
Solyc02g083490	0.00010
Solyc02g083500	0.13990
Solyc02g083510	0.15578
Solyc02g083520	0.16189
Solyc02g083540	0.19501
Solyc02g083550	0.08644
Solyc02g083560	0.02962
Solyc02g083570	0.00010
Solyc02g083580	0.00010
Solyc02g083590	0.25229
Solyc02g083600	0.30143
Solyc02g083610	0.05116
Solyc02g083620	0.13322
Solyc02g083630	0.63530
Solyc02g083640	0.10356
Solyc02g083650	0.15932
Solyc02g083660	0.26510
Solyc02g083670	0.22949
Solyc02g083680	0.08540
Solyc02g083690	0.18477
Solyc02g083700	0.34282
Solyc02g083710	0.06326
Solyc02g083720	0.36002
Solyc02g083730	0.00010
Solyc02g083740	0.68181
Solyc02g083750	0.22121
Solyc02g083760	0.34645
Solyc02g083780	0.42053
Solyc02g083790	0.16885
Solyc02g083800	0.51941
Solyc02g083810	0.14448
Solyc02g083820	0.00997
Solyc02g083850	0.06711
Solyc02g083860	0.16929
Solyc02g083870	0.94769
Solyc02g083880	0.00010
Solyc02g083890	0.15269
Solyc02g083900	0.04445
Solyc02g083930	0.09807
Solyc02g083940	0.07353
Solyc02g083950	0.24463
Solyc02g083960	0.26700
Solyc02g083970	0.10659
Solyc02g083980	0.22686
Solyc02g083990	0.75052
Solyc02g084000	0.17412
Solyc02g084010	0.03179
Solyc02g084020	0.00010
Solyc02g084030	0.19737
Solyc02g084120	0.37479
Solyc02g084150	0.36989
Solyc02g084180	0.46210
Solyc02g084200	0.86275
Solyc02g084210	0.11910
Solyc02g084220	0.20495
Solyc02g084230	0.11024
Solyc02g084240	1.11698
Solyc02g084290	1.49658
Solyc02g084300	0.48909
Solyc02g084330	0.36401
Solyc02g084340	0.32248
Solyc02g084350	0.06971
Solyc02g084360	0.00010
Solyc02g084370	0.12406
Solyc02g084380	0.20454
Solyc02g084390	0.16199
Solyc02g084400	0.20254
Solyc02g084410	0.08663
Solyc02g084420	0.00010
Solyc02g084440	0.00010
Solyc02g084500	0.05908
Solyc02g084510	0.37792
Solyc02g084520	0.43125
Solyc02g084530	0.11895
Solyc02g084540	0.41859
Solyc02g084550	0.24788
Solyc02g084560	0.07945
Solyc02g084570	0.10318
Solyc02g084580	0.59138
Solyc02g084590	0.27160
Solyc02g084600	0.28790
Solyc02g084610	0.28263
Solyc02g084620	0.88708
Solyc02g084630	0.07498
Solyc02g084640	0.30910
Solyc02g084650	1.25570
Solyc02g084660	0.56660
Solyc02g084670	0.16960
Solyc02g084680	0.12776
Solyc02g084690	0.08636
Solyc02g084700	0.21132
Solyc02g084710	999.00000
Solyc02g084720	0.04710
Solyc02g084730	0.13967
Solyc02g084740	0.27922
Solyc02g084750	0.09539
Solyc02g084760	0.00010
Solyc02g084770	0.20715
Solyc02g084780	0.00010
Solyc02g084790	0.16901
Solyc02g084800	0.00010
Solyc02g084810	0.19475
Solyc02g084820	0.18268
Solyc02g084830	0.19896
Solyc02g084840	0.00010
Solyc02g084850	0.99005
Solyc02g084860	0.60049
Solyc02g084870	0.12195
Solyc02g084880	0.22100
Solyc02g084890	0.35120
Solyc02g084900	0.16008
Solyc02g084910	0.15334
Solyc02g084920	0.00010
Solyc02g084930	0.24705
Solyc02g084950	0.24859
Solyc02g084960	0.14824
Solyc02g084970	0.73781
Solyc02g084980	0.12060
Solyc02g084990	0.25615
Solyc02g085000	0.21797
Solyc02g085010	0.31999
Solyc02g085020	0.24394
Solyc02g085030	0.53609
Solyc02g085040	0.00010
Solyc02g085050	0.19777
Solyc02g085080	0.26920
Solyc02g085090	0.44254
Solyc02g085100	0.13654
Solyc02g085110	0.07043
Solyc02g085120	0.13679
Solyc02g085130	0.60421
Solyc02g085140	0.35121
Solyc02g085150	0.61881
Solyc02g085160	0.30011
Solyc02g085170	0.27789
Solyc02g085180	0.10268
Solyc02g085190	0.08131
Solyc02g085210	0.54699
Solyc02g085220	0.21171
Solyc02g085230	0.20372
Solyc02g085240	0.97861
Solyc02g085250	0.19675
Solyc02g085280	0.00010
Solyc02g085290	0.19533
Solyc02g085300	0.73959
Solyc02g085310	0.69693
Solyc02g085330	1.52779
Solyc02g085340	0.32468
Solyc02g085350	0.08506
Solyc02g085360	0.08739
Solyc02g085380	0.09339
Solyc02g085400	0.31723
Solyc02g085420	0.07256
Solyc02g085430	0.27585
Solyc02g085440	0.31245
Solyc02g085450	0.18519
Solyc02g085460	0.76717
Solyc02g085470	0.20341
Solyc02g085480	0.00010
Solyc02g085490	0.01680
Solyc02g085500	0.24862
Solyc02g085530	0.00010
Solyc02g085540	0.32192
Solyc02g085560	0.33472
Solyc02g085570	0.02165
Solyc02g085580	0.29536
Solyc02g085590	67.80661
Solyc02g085600	0.10970
Solyc02g085610	0.34805
Solyc02g085620	0.53807
Solyc02g085630	0.19225
Solyc02g085640	0.16695
Solyc02g085650	0.11658
Solyc02g085660	0.30359
Solyc02g085670	0.08711
Solyc02g085690	0.45939
Solyc02g085700	0.11003
Solyc02g085710	1.48770
Solyc02g085720	0.26936
Solyc02g085730	0.12003
Solyc02g085740	0.35174
Solyc02g085750	0.15511
Solyc02g085760	0.30690
Solyc02g085780	0.40785
Solyc02g085790	0.02022
Solyc02g085810	0.35723
Solyc02g085820	0.30947
Solyc02g085830	0.21072
Solyc02g085840	0.13808
Solyc02g085850	0.42659
Solyc02g085860	0.22087
Solyc02g085870	0.06035
Solyc02g085910	0.22357
Solyc02g085920	0.10242
Solyc02g085930	0.26209
Solyc02g085940	999.00000
Solyc02g085950	0.24878
Solyc02g086010	0.34865
Solyc02g086050	0.56339
Solyc02g086060	0.00010
Solyc02g086070	0.15832
Solyc02g086080	0.27988
Solyc02g086090	0.40356
Solyc02g086100	0.35059
Solyc02g086110	0.29318
Solyc02g086130	0.33115
Solyc02g086140	0.25626
Solyc02g086150	0.00010
Solyc02g086160	0.12728
Solyc02g086170	0.34853
Solyc02g086180	0.03836
Solyc02g086200	0.26268
Solyc02g086210	0.14148
Solyc02g086220	0.07888
Solyc02g086230	0.19907
Solyc02g086240	0.00010
Solyc02g086250	0.59545
Solyc02g086260	1.11167
Solyc02g086270	0.57675
Solyc02g086280	0.68644
Solyc02g086300	0.05889
Solyc02g086310	0.00010
Solyc02g086320	0.00010
Solyc02g086340	0.25808
Solyc02g086350	0.28338
Solyc02g086360	0.29347
Solyc02g086370	0.16206
Solyc02g086380	999.00000
Solyc02g086400	0.35647
Solyc02g086430	0.26683
Solyc02g086440	0.26825
Solyc02g086450	999.00000
Solyc02g086460	0.94024
Solyc02g086470	0.34950
Solyc02g086480	0.32771
Solyc02g086490	0.00010
Solyc02g086500	0.35387
Solyc02g086510	0.32464
Solyc02g086520	0.13900
Solyc02g086530	0.08320
Solyc02g086550	0.25317
Solyc02g086560	0.42075
Solyc02g086570	0.29176
Solyc02g086580	0.77263
Solyc02g086590	0.18515
Solyc02g086600	0.17269
Solyc02g086610	0.10577
Solyc02g086630	0.94099
Solyc02g086640	0.68434
Solyc02g086650	0.24843
Solyc02g086660	0.21462
Solyc02g086670	0.21735
Solyc02g086680	0.10322
Solyc02g086690	0.04425
Solyc02g086700	0.00010
Solyc02g086710	0.06757
Solyc02g086730	0.16119
Solyc02g086740	0.16511
Solyc02g086750	0.44346
Solyc02g086760	0.23774
Solyc02g086770	0.23731
Solyc02g086780	0.00010
Solyc02g086790	0.08216
Solyc02g086800	0.24147
Solyc02g086810	0.05612
Solyc02g086820	0.08727
Solyc02g086830	0.07852
Solyc02g086840	0.10631
Solyc02g086860	0.56542
Solyc02g086870	0.30382
Solyc02g086880	0.26997
Solyc02g086890	0.10577
Solyc02g086900	0.25709
Solyc02g086910	0.15191
Solyc02g086920	0.38198
Solyc02g086930	0.20312
Solyc02g086940	0.36188
Solyc02g086950	0.35559
Solyc02g086970	0.32084
Solyc02g086980	0.54928
Solyc02g086990	0.07134
Solyc02g087000	0.03566
Solyc02g087010	0.17657
Solyc02g087030	0.00010
Solyc02g087040	0.34295
Solyc02g087050	0.47781
Solyc02g087060	0.22770
Solyc02g087070	0.39755
Solyc02g087090	0.18951
Solyc02g087120	0.19275
Solyc02g087130	0.00010
Solyc02g087140	1.16060
Solyc02g087150	0.14626
Solyc02g087170	0.13711
Solyc02g087180	0.26335
Solyc02g087190	0.10283
Solyc02g087200	0.12636
Solyc02g087210	0.17091
Solyc02g087230	0.00010
Solyc02g087240	0.02562
Solyc02g087250	0.38603
Solyc02g087260	0.36194
Solyc02g087270	2.85260
Solyc02g087280	0.04146
Solyc02g087290	0.09496
Solyc02g087300	0.00010
Solyc02g087310	0.08772
Solyc02g087330	0.00010
Solyc02g087340	0.27528
Solyc02g087350	0.38097
Solyc02g087360	0.17479
Solyc02g087400	0.24859
Solyc02g087410	0.14587
Solyc02g087420	1.36213
Solyc02g087430	0.18490
Solyc02g087440	0.86267
Solyc02g087450	0.41187
Solyc02g087460	0.21752
Solyc02g087480	0.29240
Solyc02g087490	0.00010
Solyc02g087510	0.06980
Solyc02g087520	0.28521
Solyc02g087540	0.39028
Solyc02g087550	0.09713
Solyc02g087560	0.20770
Solyc02g087580	0.19541
Solyc02g087600	0.17631
Solyc02g087610	0.33864
Solyc02g087620	0.03005
Solyc02g087630	0.19425
Solyc02g087640	0.38915
Solyc02g087650	0.12010
Solyc02g087660	999.00000
Solyc02g087670	0.25866
Solyc02g087710	0.07471
Solyc02g087720	0.51414
Solyc02g087730	1.02960
Solyc02g087740	0.21843
Solyc02g087750	0.00010
Solyc02g087760	0.41932
Solyc02g087770	0.28323
Solyc02g087780	0.19786
Solyc02g087790	0.00010
Solyc02g087800	0.26865
Solyc02g087810	0.05988
Solyc02g087830	0.20392
Solyc02g087840	0.08822
Solyc02g087850	0.12848
Solyc02g087860	0.00010
Solyc02g087870	0.04235
Solyc02g087880	0.00010
Solyc02g087900	0.06454
Solyc02g087930	0.00010
Solyc02g087940	0.58095
Solyc02g087950	0.50800
Solyc02g087960	0.28907
Solyc02g087970	0.27992
Solyc02g087980	0.13344
Solyc02g087990	0.00010
Solyc02g088000	0.20635
Solyc02g088010	0.61301
Solyc02g088040	0.04656
Solyc02g088070	0.37660
Solyc02g088080	0.62270
Solyc02g088090	0.66287
Solyc02g088100	0.07718
Solyc02g088110	0.06721
Solyc02g088120	999.00000
Solyc02g088140	0.56616
Solyc02g088160	1.64570
Solyc02g088170	0.21463
Solyc02g088180	0.44720
Solyc02g088190	0.13474
Solyc02g088200	0.28269
Solyc02g088210	0.03825
Solyc02g088220	0.25065
Solyc02g088230	0.28279
Solyc02g088240	0.16132
Solyc02g088250	0.14542
Solyc02g088260	0.14196
Solyc02g088270	0.30877
Solyc02g088280	0.00010
Solyc02g088290	0.35817
Solyc02g088300	0.27679
Solyc02g088310	0.39577
Solyc02g088320	0.28245
Solyc02g088330	0.16755
Solyc02g088340	0.39516
Solyc02g088350	1.32888
Solyc02g088380	0.41260
Solyc02g088390	0.20790
Solyc02g088400	2.02626
Solyc02g088460	0.11377
Solyc02g088470	0.06504
Solyc02g088480	0.67525
Solyc02g088490	0.19739
Solyc02g088500	0.32818
Solyc02g088510	0.40819
Solyc02g088540	0.30423
Solyc02g088550	0.14295
Solyc02g088560	0.10189
Solyc02g088570	0.25871
Solyc02g088580	0.40997
Solyc02g088590	0.08500
Solyc02g088600	0.29323
Solyc02g088610	0.06031
Solyc02g088620	0.05040
Solyc02g088630	0.03794
Solyc02g088650	0.36344
Solyc02g088660	0.52858
Solyc02g088710	0.12546
Solyc02g088720	0.33462
Solyc02g088730	0.21823
Solyc02g088740	0.26029
Solyc02g088750	0.00010
Solyc02g088760	0.10228
Solyc02g088770	0.12328
Solyc02g088780	0.46775
Solyc02g088790	0.50064
Solyc02g088800	0.17726
Solyc02g088820	0.17454
Solyc02g088830	0.45926
Solyc02g088840	0.42163
Solyc02g088850	0.00010
Solyc02g088900	0.47333
Solyc02g088910	0.05310
Solyc02g088920	0.15287
Solyc02g088930	0.00010
Solyc02g088940	1.81077
Solyc02g088990	999.00000
Solyc02g089020	0.06664
Solyc02g089030	0.00010
Solyc02g089050	0.34050
Solyc02g089060	0.27124
Solyc02g089070	0.49625
Solyc02g089080	0.77281
Solyc02g089090	0.47201
Solyc02g089100	0.15899
Solyc02g089110	0.00010
Solyc02g089120	0.24091
Solyc02g089130	0.55719
Solyc02g089150	0.11313
Solyc02g089160	0.16369
Solyc02g089170	0.01205
Solyc02g089200	0.29974
Solyc02g089210	0.16991
Solyc02g089220	0.15673
Solyc02g089230	0.26498
Solyc02g089240	0.03489
Solyc02g089250	0.28729
Solyc02g089260	0.21992
Solyc02g089270	0.85150
Solyc02g089280	0.07548
Solyc02g089290	0.28188
Solyc02g089300	999.00000
Solyc02g089310	0.11691
Solyc02g089320	0.11975
Solyc02g089330	0.32145
Solyc02g089340	0.15662
Solyc02g089350	0.82629
Solyc02g089360	0.19368
Solyc02g089370	0.06307
Solyc02g089390	0.06392
Solyc02g089400	0.26014
Solyc02g089410	1.72915
Solyc02g089420	0.00010
Solyc02g089440	0.10012
Solyc02g089460	1.98224
Solyc02g089470	0.23259
Solyc02g089480	0.00010
Solyc02g089500	1.02943
Solyc02g089520	0.91957
Solyc02g089540	0.09919
Solyc02g089550	0.04738
Solyc02g089560	0.29966
Solyc02g089600	0.43173
Solyc02g089610	0.21767
Solyc02g089620	0.18433
Solyc02g089630	0.35450
Solyc02g089640	0.07233
Solyc02g089650	0.21047
Solyc02g089670	0.17558
Solyc02g089680	0.10992
Solyc02g089690	0.25578
Solyc02g089720	0.13535
Solyc02g089730	0.13029
Solyc02g089750	0.26371
Solyc02g089760	0.04104
Solyc02g089770	0.52025
Solyc02g089800	0.52262
Solyc02g089810	0.30842
Solyc02g089820	0.30098
Solyc02g089830	0.22973
Solyc02g089840	0.68053
Solyc02g089850	0.07701
Solyc02g089860	0.00010
Solyc02g089870	0.16560
Solyc02g089880	0.10213
Solyc02g089890	0.18507
Solyc02g089900	0.16505
Solyc02g089930	0.07793
Solyc02g089940	0.15132
Solyc02g089950	0.20988
Solyc02g089960	0.49186
Solyc02g089970	0.19261
Solyc02g089980	0.11777
Solyc02g089990	0.00010
Solyc02g090000	0.00010
Solyc02g090020	0.64816
Solyc02g090030	0.17714
Solyc02g090040	1.01274
Solyc02g090050	0.94109
Solyc02g090070	0.08514
Solyc02g090090	0.14111
Solyc02g090100	0.52375
Solyc02g090110	0.16374
Solyc02g090120	0.30052
Solyc02g090130	0.25834
Solyc02g090140	0.80953
Solyc02g090150	0.18521
Solyc02g090160	0.10842
Solyc02g090170	0.46114
Solyc02g090180	0.18830
Solyc02g090190	0.15578
Solyc02g090200	0.27721
Solyc02g090210	0.12145
Solyc02g090220	0.21060
Solyc02g090230	0.44249
Solyc02g090240	0.52978
Solyc02g090250	0.62074
Solyc02g090260	0.42366
Solyc02g090290	0.00010
Solyc02g090300	0.00010
Solyc02g090310	0.18584
Solyc02g090330	0.27586
Solyc02g090340	0.81252
Solyc02g090350	0.22954
Solyc02g090360	0.17089
Solyc02g090370	0.00010
Solyc02g090380	0.50891
Solyc02g090390	0.02964
Solyc02g090400	0.84502
Solyc02g090410	0.79011
Solyc02g090420	0.21454
Solyc02g090430	0.24167
Solyc02g090450	0.31137
Solyc02g090470	0.51509
Solyc02g090480	0.12318
Solyc02g090490	0.37586
Solyc02g090510	0.14302
Solyc02g090530	0.77939
Solyc02g090540	0.15216
Solyc02g090560	0.90191
Solyc02g090570	0.10828
Solyc02g090580	0.62767
Solyc02g090620	0.33216
Solyc02g090630	0.12229
Solyc02g090650	0.16852
Solyc02g090670	0.16908
Solyc02g090680	0.25730
Solyc02g090710	0.33262
Solyc02g090720	0.64839
Solyc02g090730	0.00010
Solyc02g090740	0.30224
Solyc02g090750	0.63723
Solyc02g090760	0.23683
Solyc02g090770	0.24089
Solyc02g090810	0.00010
Solyc02g090820	0.23965
Solyc02g090840	0.61493
Solyc02g090850	0.14111
Solyc02g090860	0.26111
Solyc02g090870	0.06640
Solyc02g090890	0.23860
Solyc02g090900	0.36866
Solyc02g090910	0.07740
Solyc02g090920	0.34698
Solyc02g090930	0.10123
Solyc02g090940	0.26445
Solyc02g090960	0.20421
Solyc02g090970	0.41399
Solyc02g090980	0.27331
Solyc02g090990	0.26121
Solyc02g091000	0.04474
Solyc02g091010	0.04961
Solyc02g091030	1.16775
Solyc02g091050	0.36808
Solyc02g091070	0.00010
Solyc02g091080	0.08740
Solyc02g091090	0.08146
Solyc02g091100	0.03824
Solyc02g091110	0.41180
Solyc02g091120	0.26856
Solyc02g091130	0.00010
Solyc02g091140	0.17793
Solyc02g091160	0.15351
Solyc02g091170	0.25496
Solyc02g091180	0.21437
Solyc02g091190	0.24496
Solyc02g091210	0.19689
Solyc02g091220	0.21400
Solyc02g091230	999.00000
Solyc02g091240	0.16942
Solyc02g091250	0.47202
Solyc02g091260	0.12408
Solyc02g091270	0.18423
Solyc02g091280	0.20630
Solyc02g091290	0.88981
Solyc02g091300	0.00010
Solyc02g091310	0.69389
Solyc02g091320	0.12664
Solyc02g091330	0.32851
Solyc02g091340	0.10787
Solyc02g091350	0.02291
Solyc02g091360	0.19020
Solyc02g091370	0.08379
Solyc02g091380	0.11469
Solyc02g091390	0.00010
Solyc02g091410	0.15607
Solyc02g091420	0.11124
Solyc02g091430	0.27583
Solyc02g091450	0.19245
Solyc02g091460	0.57114
Solyc02g091470	0.10925
Solyc02g091480	0.96716
Solyc02g091490	0.61001
Solyc02g091500	0.22148
Solyc02g091510	0.06869
Solyc02g091520	0.00010
Solyc02g091540	0.16439
Solyc02g091560	0.11444
Solyc02g091580	0.16093
Solyc02g091600	0.32783
Solyc02g091620	0.87664
Solyc02g091640	0.18215
Solyc02g091650	0.43470
Solyc02g091660	0.49642
Solyc02g091670	0.06378
Solyc02g091680	0.29672
Solyc02g091690	0.31544
Solyc02g091700	0.00010
Solyc02g091710	0.24919
Solyc02g091720	0.06067
Solyc02g091730	0.96655
Solyc02g091740	0.28822
Solyc02g091760	0.88564
Solyc02g091770	0.45390
Solyc02g091790	0.11713
Solyc02g091800	0.00010
Solyc02g091810	0.00010
Solyc02g091830	0.37582
Solyc02g091840	0.06414
Solyc02g091860	0.21954
Solyc02g091870	0.00010
Solyc02g091880	0.10152
Solyc02g091890	0.31234
Solyc02g091900	0.09889
Solyc02g091910	0.32367
Solyc02g091920	0.15585
Solyc02g091930	0.04414
Solyc02g091940	0.22162
Solyc02g091950	0.20156
Solyc02g091960	0.37002
Solyc02g091970	0.02235
Solyc02g091980	0.00010
Solyc02g091990	0.57524
Solyc02g092000	0.21065
Solyc02g092010	0.24767
Solyc02g092040	0.07210
Solyc02g092050	0.23366
Solyc02g092070	0.23312
Solyc02g092080	1.09887
Solyc02g092090	0.11750
Solyc02g092110	0.52387
Solyc02g092120	0.28875
Solyc02g092140	0.21307
Solyc02g092150	0.53303
Solyc02g092160	0.53937
Solyc02g092180	0.00010
Solyc02g092190	0.10134
Solyc02g092200	0.21038
Solyc02g092210	0.16643
Solyc02g092230	0.06938
Solyc02g092240	0.22018
Solyc02g092250	0.22243
Solyc02g092260	0.17121
Solyc02g092270	0.28843
Solyc02g092290	1.00916
Solyc02g092300	0.00010
Solyc02g092310	0.34222
Solyc02g092320	0.29229
Solyc02g092330	0.00010
Solyc02g092340	999.00000
Solyc02g092350	0.18844
Solyc02g092370	0.15333
Solyc02g092380	0.08223
Solyc02g092390	0.52463
Solyc02g092400	0.00010
Solyc02g092410	0.17836
Solyc02g092420	0.13571
Solyc02g092430	0.14977
Solyc02g092440	0.03811
Solyc02g092450	0.02833
Solyc02g092460	0.26080
Solyc02g092470	0.23960
Solyc02g092480	0.20367
Solyc02g092490	0.15735
Solyc02g092500	1.25346
Solyc02g092510	0.14668
Solyc02g092520	0.67598
Solyc02g092530	0.15667
Solyc02g092550	0.35997
Solyc02g092560	0.29899
Solyc02g092570	0.10232
Solyc02g092580	0.16585
Solyc02g092590	0.12527
Solyc02g092600	1.02938
Solyc02g092610	0.56854
Solyc02g092640	0.00010
Solyc02g092660	0.42499
Solyc02g092670	0.27773
Solyc02g092680	0.36070
Solyc02g092700	0.11414
Solyc02g092710	0.61685
Solyc02g092720	0.20193
Solyc02g092730	0.64207
Solyc02g092750	0.24847
Solyc02g092760	0.08748
Solyc02g092770	0.09985
Solyc02g092780	0.15895
Solyc02g092790	0.22464
Solyc02g092800	0.03195
Solyc02g092810	0.15663
Solyc02g092820	0.03209
Solyc02g092830	0.34718
Solyc02g092840	0.08179
Solyc02g092860	0.43840
Solyc02g092870	0.11038
Solyc02g092880	0.36736
Solyc02g092890	0.19313
Solyc02g092910	0.00010
Solyc02g092920	0.15828
Solyc02g092930	0.07474
Solyc02g092940	0.13104
Solyc02g092950	0.14060
Solyc02g092970	0.08206
Solyc02g092980	0.11679
Solyc02g092990	0.18086
Solyc02g093000	0.07236
Solyc02g093010	0.11836
Solyc02g093020	0.02739
Solyc02g093040	0.27165
Solyc02g093050	0.20297
Solyc02g093060	0.51040
Solyc02g093070	0.14646
Solyc02g093080	0.21388
Solyc02g093090	0.10424
Solyc02g093100	0.29996
Solyc02g093110	0.00010
Solyc02g093120	0.16200
Solyc02g093130	0.00010
Solyc02g093140	0.65836
Solyc02g093150	0.22228
Solyc02g093160	0.41643
Solyc02g093170	0.16932
Solyc02g093180	0.38106
Solyc02g093190	0.28891
Solyc02g093200	0.44502
Solyc02g093210	0.12775
Solyc02g093220	0.02917
Solyc02g093250	0.03715
Solyc02g093270	0.00010
Solyc02g093280	0.48771
Solyc02g093290	0.19556
Solyc02g093300	0.49474
Solyc02g093310	0.13359
Solyc02g093320	2.19382
Solyc02g093330	0.52877
Solyc02g093340	0.02639
Solyc02g093350	999.00000
Solyc02g093360	0.07088
Solyc02g093370	0.12332
Solyc02g093380	0.13853
Solyc02g093390	0.15998
Solyc02g093410	0.00010
Solyc02g093420	0.31152
Solyc02g093430	0.06011
Solyc02g093440	0.22766
Solyc02g093450	0.69736
Solyc02g093460	0.25945
Solyc02g093470	0.03127
Solyc02g093490	0.00010
Solyc02g093500	0.90073
Solyc02g093510	0.39374
Solyc02g093520	0.39959
Solyc02g093530	0.23157
Solyc02g093550	0.61163
Solyc02g093560	1.73887
Solyc02g093570	0.56914
Solyc02g093580	0.04730
Solyc02g093590	0.18869
Solyc02g093600	0.55751
Solyc02g093610	0.48812
Solyc02g093620	0.40184
Solyc02g093630	0.32997
Solyc02g093640	0.11979
Solyc02g093650	0.00010
Solyc02g093660	0.00010
Solyc02g093670	0.08175
Solyc02g093680	0.00010
Solyc02g093690	0.16492
Solyc02g093700	0.19201
Solyc02g093710	0.29417
Solyc02g093720	0.65221
Solyc02g093730	0.00010
Solyc02g093740	0.05327
Solyc02g093750	0.50566
Solyc02g093760	0.48383
Solyc02g093770	0.24191
Solyc02g093790	0.11440
Solyc02g093800	0.15569
Solyc02g093810	0.26735
Solyc02g093820	0.44435
Solyc02g093830	0.02703
Solyc02g093840	0.23919
Solyc02g093850	0.12355
Solyc02g093860	0.05324
Solyc02g093870	0.08222
Solyc02g093880	0.19204
Solyc02g093890	0.14859
Solyc02g093900	0.03864
Solyc02g093910	0.16672
Solyc02g093920	0.20978
Solyc02g093930	0.37482
Solyc02g093940	0.05412
Solyc02g093950	0.22532
Solyc02g093960	0.00010
Solyc02g093970	0.25928
Solyc02g093980	0.45228
Solyc02g093990	0.68342
Solyc02g094000	0.29114
Solyc02g094010	1.48272
Solyc02g094030	0.27977
Solyc02g094040	0.11602
Solyc02g094050	0.36350
Solyc02g094060	0.55877
Solyc02g094090	0.14789
Solyc02g094100	0.21837
Solyc02g094110	0.00010
Solyc02g094120	0.26373
Solyc02g094130	0.14173
Solyc02g094140	0.00010
Solyc02g094150	0.26071
Solyc02g094160	0.10278
Solyc02g094170	0.11548
Solyc02g094180	0.00010
Solyc02g094190	0.08270
Solyc02g094200	0.00010
Solyc02g094210	0.00010
Solyc02g094220	0.26622
Solyc02g094230	0.28122
Solyc02g094250	0.00010
Solyc02g094260	0.12874
Solyc02g094280	0.04606
Solyc02g094300	0.23147
Solyc02g094310	0.36623
Solyc02g094320	0.03169
Solyc02g094330	0.00010
Solyc02g094340	0.48872
Solyc02g094350	0.00010
Solyc02g094360	0.33456
Solyc02g094370	0.68321
Solyc02g094390	0.12786
Solyc02g094400	0.28335
Solyc02g094410	0.14661
Solyc02g094420	0.15885
Solyc02g094430	0.38031
Solyc02g094440	0.06445
Solyc02g094450	0.41251
Solyc02g094470	0.07909
Solyc02g094480	0.20059
Solyc02g094490	0.23411
Solyc02g094500	0.24502
Solyc02g094510	0.56890
Solyc02g094520	0.23689
Solyc02g094530	0.79406
Solyc02g094540	1.23249
Solyc02g094550	0.06974
Solyc02g094560	0.10455
Solyc02g094570	0.07613
Solyc02g094580	0.72595
Solyc02g094590	0.12838
Solyc02g094600	0.22296
Solyc02g094610	0.11626
Solyc02g094630	999.00000
Solyc02g094640	0.19107
Solyc02g094740	0.00010
Solyc02g094750	0.09575
Solyc03g005000	0.07250
Solyc03g005010	0.99078
Solyc03g005020	0.11299
Solyc03g005030	0.39475
Solyc03g005040	0.50415
Solyc03g005050	0.08683
Solyc03g005060	0.40376
Solyc03g005080	0.29911
Solyc03g005090	0.26978
Solyc03g005100	0.05720
Solyc03g005110	1.83462
Solyc03g005120	0.13760
Solyc03g005130	0.29060
Solyc03g005140	0.21005
Solyc03g005150	0.19042
Solyc03g005160	999.00000
Solyc03g005170	0.25612
